sub,lang,layer,mean_r,top10_r,pos_frac
sub-EN062,EN,L25,0.0284,0.0618,0.588
sub-EN062,EN,L28,0.0218,0.0498,0.564
sub-FR001,FR,L01,0.0041,0.0198,0.481
sub-FR001,FR,L05,0.0078,0.0271,0.501
sub-FR001,FR,L09,0.0164,0.0381,0.534
sub-FR001,FR,L13,0.0241,0.0498,0.564
sub-FR001,FR,L17,0.0318,0.0641,0.594
sub-FR001,FR,L21,0.0294,0.0598,0.581
sub-FR001,FR,L25,0.0231,0.0512,0.558
sub-FR001,FR,L28,0.0178,0.0412,0.536
sub-FR002,FR,L01,0.0038,0.0181,0.476
sub-FR002,FR,L05,0.0071,0.0258,0.496
sub-FR002,FR,L09,0.0152,0.0364,0.528
sub-FR002,FR,L13,0.0224,0.0479,0.557
sub-FR002,FR,L17,0.0298,0.0618,0.587
sub-FR002,FR,L21,0.0274,0.0574,0.574
sub-FR002,FR,L25,0.0214,0.0491,0.551
sub-FR002,FR,L28,0.0164,0.0394,0.529
sub-FR003,FR,L01,0.0034,0.0168,0.469
sub-FR003,FR,L05,0.0064,0.0241,0.489
sub-FR003,FR,L09,0.0138,0.0344,0.521
sub-FR003,FR,L13,0.0204,0.0458,0.549
sub-FR003,FR,L17,0.0271,0.0594,0.578
sub-FR003,FR,L21,0.0248,0.0551,0.565
sub-FR003,FR,L25,0.0194,0.0471,0.542
sub-FR003,FR,L28,0.0148,0.0374,0.521
sub-FR004,FR,L01,0.0031,0.0158,0.463
sub-FR004,FR,L05,0.0059,0.0228,0.483
sub-FR004,FR,L09,0.0128,0.0328,0.514
sub-FR004,FR,L13,0.0189,0.0441,0.542
sub-FR004,FR,L17,0.0251,0.0574,0.571
sub-FR004,FR,L21,0.0229,0.0531,0.558
sub-FR004,FR,L25,0.0179,0.0452,0.535
sub-FR004,FR,L28,0.0136,0.0358,0.514
sub-FR005,FR,L01,0.0028,0.0148,0.458
sub-FR005,FR,L05,0.0053,0.0214,0.477
sub-FR005,FR,L09,0.0118,0.0311,0.508
sub-FR005,FR,L13,0.0174,0.0424,0.535
sub-FR005,FR,L17,0.0231,0.0554,0.563
sub-FR005,FR,L21,0.0211,0.0512,0.551
sub-FR005,FR,L25,0.0164,0.0434,0.528
sub-FR005,FR,L28,0.0124,0.0341,0.507
sub-CN001,CN,L01,0.0051,0.0221,0.489
sub-CN001,CN,L05,0.0096,0.0301,0.511
sub-CN001,CN,L09,0.0201,0.0421,0.544
sub-CN001,CN,L13,0.0298,0.0558,0.575
sub-CN001,CN,L17,0.0394,0.0718,0.607
sub-CN001,CN,L21,0.0364,0.0661,0.594
sub-CN001,CN,L25,0.0284,0.0561,0.570
sub-CN001,CN,L28,0.0218,0.0449,0.548
sub-CN002,CN,L01,0.0068,0.0271,0.501
sub-CN002,CN,L05,0.0124,0.0358,0.524
sub-CN002,CN,L09,0.0251,0.0489,0.558
sub-CN002,CN,L13,0.0364,0.0634,0.589
sub-CN002,CN,L17,0.0471,0.0812,0.622
sub-CN002,CN,L21,0.0436,0.0748,0.609
sub-CN002,CN,L25,0.0341,0.0634,0.584
sub-CN002,CN,L28,0.0261,0.0511,0.562
sub-CN003,CN,L01,0.0044,0.0208,0.484
sub-CN003,CN,L05,0.0083,0.0284,0.506
sub-CN003,CN,L09,0.0174,0.0401,0.538
sub-CN003,CN,L13,0.0256,0.0541,0.568
sub-CN003,CN,L17,0.0338,0.0694,0.599
sub-CN003,CN,L21,0.0311,0.0638,0.587
sub-CN003,CN,L25,0.0242,0.0541,0.563
sub-CN003,CN,L28,0.0184,0.0431,0.541
sub-CN004,CN,L01,0.0039,0.0194,0.478
sub-CN004,CN,L05,0.0074,0.0268,0.499
sub-CN004,CN,L09,0.0158,0.0384,0.531
sub-CN004,CN,L13,0.0231,0.0518,0.561
sub-CN004,CN,L17,0.0304,0.0668,0.591
sub-CN004,CN,L21,0.0279,0.0612,0.579
sub-CN004,CN,L25,0.0218,0.0519,0.556
sub-CN004,CN,L28,0.0164,0.0414,0.534
sub-CN005,CN,L01,0.0034,0.0181,0.472
sub-CN005,CN,L05,0.0064,0.0251,0.492
sub-CN005,CN,L09,0.0138,0.0364,0.524
sub-CN005,CN,L13,0.0204,0.0496,0.553
sub-CN005,CN,L17,0.0271,0.0641,0.583
sub-CN005,CN,L21,0.0248,0.0588,0.571
sub-CN005,CN,L25,0.0194,0.0498,0.548
sub-CN005,CN,L28,0.0146,0.0396,0.527
