sub,lang,layer,mean_r,top10_r,pos_frac
sub-CN002,CN,L17,0.0578,0.0964,0.644
sub-CN002,CN,L21,0.0541,0.0901,0.632
sub-CN002,CN,L25,0.0446,0.0769,0.608
sub-CN002,CN,L28,0.0351,0.0621,0.585
sub-CN003,CN,L01,0.0063,0.0261,0.503
sub-CN003,CN,L05,0.0117,0.0351,0.527
sub-CN003,CN,L09,0.0237,0.0494,0.561
sub-CN003,CN,L13,0.0348,0.0662,0.593
sub-CN003,CN,L17,0.0448,0.0854,0.626
sub-CN003,CN,L21,0.0419,0.0797,0.614
sub-CN003,CN,L25,0.0346,0.0679,0.590
sub-CN003,CN,L28,0.0271,0.0543,0.568
sub-CN004,CN,L01,0.0057,0.0247,0.497
sub-CN004,CN,L05,0.0106,0.0334,0.521
sub-CN004,CN,L09,0.0216,0.0474,0.554
sub-CN004,CN,L13,0.0318,0.0638,0.586
sub-CN004,CN,L17,0.0409,0.0831,0.618
sub-CN004,CN,L21,0.0383,0.0774,0.607
sub-CN004,CN,L25,0.0316,0.0658,0.583
sub-CN004,CN,L28,0.0248,0.0524,0.561
sub-CN005,CN,L01,0.0051,0.0233,0.491
sub-CN005,CN,L05,0.0095,0.0317,0.514
sub-CN005,CN,L09,0.0196,0.0454,0.547
sub-CN005,CN,L13,0.0289,0.0614,0.579
sub-CN005,CN,L17,0.0371,0.0808,0.611
sub-CN005,CN,L21,0.0347,0.0752,0.599
sub-CN005,CN,L28,0.0226,0.0503,0.554
sub-CN005,CN,L25,0.0287,0.0638,0.576
